timestamp;real;imag;symbol_index;samp_rate
5,072175;-1,417701;-1,411919;66;65105
5,072191;-1,413472;-1,446373;66;65105
5,072206;-1,417700;-1,391554;67;65105
5,072221;-1,413472;-1,410897;67;65105
5,072237;-1,417700;-1,434737;68;65105
5,072252;-1,413472;-1,397019;68;65105
5,072267;-1,417701;-1,423796;69;65105
5,072283;-1,413472;-1,423102;69;65105
5,072298;-1,417701;-1,400240;70;65105
5,072313;-1,413472;-1,423102;70;65105
5,072329;-1,417700;-1,423796;71;65105
5,072344;-1,413472;-1,397019;71;65105
5,072360;-1,417700;-1,434737;72;65105
5,072375;-1,413472;-1,410897;72;65105
5,072390;-1,417701;-1,391554;73;65105
5,072406;-1,413472;-1,446373;73;65105
5,072421;-1,417701;-1,411919;74;65105
5,072436;-1,413472;-1,386384;74;65105
5,072452;-1,417700;-1,489730;75;65105
5,072467;-1,413472;-1,340986;75;65105
5,072482;-1,417700;-1,256063;76;65105
5,072498;-1,413472;-1,795963;76;65105
5,072513;-1,417701;-1,657359;77;65105
5,072528;-1,413472;0,306420;77;65105
5,072544;-1,417701;1,682750;78;65105
5,072559;-1,413472;0,306420;78;65105
5,072575;-1,417700;-1,657359;79;65105
5,072590;-1,413472;-1,795963;79;65105
6,073442;-1,417700;-1,256063;80;65105
6,073458;-1,413472;-1,340986;80;65105
6,073473;-1,417701;-1,489730;81;65105
6,073489;-1,413472;-1,386384;81;65105
6,073504;-1,417701;-1,411919;82;65105
6,073519;-1,413472;-1,446373;82;65105
6,073535;-1,417700;-1,391554;83;65105
6,073550;-1,413472;-1,410897;83;65105
6,073565;-1,417700;-1,434737;84;65105
6,073581;-1,413472;-1,397019;84;65105
6,073596;-1,417701;-1,423796;85;65105
6,073611;-1,413472;-1,423102;85;65105
6,073627;-1,417701;-1,400240;86;65105
6,073642;-1,413472;-1,423102;86;65105
6,073657;-1,417700;-1,423796;87;65105
6,073673;-1,413472;-1,397019;87;65105
6,073688;-1,417700;-1,434737;88;65105
6,073704;-1,413472;-1,410897;88;65105
6,073719;-1,417701;-1,391554;89;65105
6,073734;-1,413472;-1,446373;89;65105
6,073750;-1,417701;-1,411919;90;65105
